,Unnamed: 0.1,Unnamed: 0,doc,questions,response,information
10,10,10,"El cambio cultural se produce cuando, habiendo observado las acciones de quienes lo preceden, un individuo juzga óptimo seguir la conducta del anterior sin considerar su propia información. La gente dentro del supuesto de que los demás emiten juicios razonables, incluso si contradicen los propios.  
Al formar una idea de cuándo entregar un proyecto multimillonario, es crucial usar tu propio criterio y otras estimaciones para mejorar tu suerte, no reemplazarla. Un problema común es el ""efecto halo"", donde un rasgo de algo influye en la forma en que la gente percibe otros rasgos no asociados con eso.  
En el caso del efecto tren, las personas que atienden al ""halo"" no examinan los datos reales; en su lugar, gravitan hacia algo que ilustre positividad. Se declaró la intención de hacer preguntas evitando que las opiniones de una persona afectaran las de otra.

Es crucial, sin embargo, que la estimación corra cargo del equipo que llevará a cabo el trabajo, no de expertos “ideales”.  
Este sencillo método permite evitar todo condicionamiento, como los efectos tren y halo, y a la vez compartir entre los miembros del equipo conocimientos sobre una tarea particular.","El cambio cultural se produce cuando un individuo sigue la conducta de otros sin considerar su propia información. Es importante usar tu criterio y otras estimaciones al entregar un proyecto multimillonario para mejorar tu suerte. El ""efecto halo"" puede influir en la percepción de las personas sobre diferentes rasgos. En el caso del efecto tren, las personas se dejan llevar por la positividad en lugar de examinar los datos reales. Es crucial que la estimación sea realizada por el equipo que llevará a cabo el trabajo. Evitar el condicionamiento, como los efectos tren y halo, y compartir conocimientos entre los miembros del equipo es fundamental.",,
11,11,11,"El Scrum Master y el equipo están a cargo del rápido avance y la máxima rapidez que pueden alcanzar. El responsable del producto debe traducir la productividad del equipo en valor. Un responsable del producto debe conocer el terreno, comprender el proceso que el equipo recorre para saber qué puede hacerse e igualmente qué no. También debe conocer el qué para saber cómo traducir lo que puede hacerse en valor verdadero y significativo.  
El responsable del producto debe conocer bien el mercado para saber qué marcará la diferencia. Debe tener autoridad para tomar decisiones y disponer de margen para tomar decisiones sobre cuál será la visión del producto y qué se debe hacer para realizarla. Debe estar a disposición del equipo para explicar qué se debe hacer y por qué.

Aunque está a cargo de la definición de los Pendientes, debe mantener un diálogo constante con el equipo. Sin acceso a él, el equipo no sabrá qué hacer o en qué orden llevarlo a cabo. Depende del responsable del producto respecto a ""la visión"" y, asimismo, la inteligencia del mercado sobre qué es importante.  
Debe hacerse cargo del valor. La clave es decidir cuál es la medida de valor y hacer que el responsable del producto asuma el deber de ofrecer cada vez más de él. Yo mido a un responsable del producto por los ingresos que produce por ""punto"" de esfuerzo. Todo esto es mucho pedir a una sola persona y por eso en proyectos grandes suelen haber un equipo de responsables del producto que se ocupan de todas las necesidades.","El Scrum Master y el equipo se encargan de avanzar rápidamente, mientras que el responsable del producto debe traducir la productividad del equipo en valor. Debe conocer el mercado, tener autoridad para tomar decisiones y estar disponible para explicar qué hacer y por qué. Aunque define los Pendientes, debe dialogar constantemente con el equipo para que sepan qué hacer. Debe encargarse del valor y medirse por los ingresos generados por ""punto"" de esfuerzo. En proyectos grandes, suele haber un equipo de responsables del producto para cubrir todas las necesidades.",,
12,12,12,"No es necesario cambiar radicalmente la vida de alguien para hacerla feliz, al menos por un tiempo. Aun un poco de felicidad produce resultados mucho mejores. La gente no es feliz por ser exitosa, sino exitosa porque es feliz. La felicidad es una medida predictiva.

financieros analizan el pasado, pero al preguntar a la gente qué les hace feliz, proyectan hacia el futuro. Y cuando piensan en lo feliz que están en la compañía, proyectan cómo creen que les irá en ella. Así se obtienen indicaciones de un problema antes de que surja.","La felicidad no requiere grandes cambios, incluso un poco de felicidad mejora los resultados. La gente es exitosa porque es feliz, no al revés. La felicidad es predictiva. Los financieros analizan el pasado, pero al preguntar a la gente qué les hace feliz, proyectan hacia el futuro. La felicidad en la compañía puede predecir el éxito futuro.",,
13,13,13,"En su libro ""Happier (Más feliz)"", el autor destaca que la felicidad no se logra solo disfrutando el viaje, sino alcanzando metas exitosas. La sociedad premia resultados, no solo procesos; destaca que la felicidad es crucial para el éxito empresarial y, de hecho, predice de manera más efectiva las utilidades que la mayoría de los indicadores financieros del director.

La felicidad no es solo placer, es más bien compromiso positivo y apasionado. La única ruta para tener empleados felices que también beneficien a los accionistas es la sensación de realización que resulta de hacer bien un trabajo importante. Debemos aspirar no solo a hacer ""felices"" a los empleados, sino también a lograrlo ayudándolos a alcanzar grandes cosas. Los gerentes también deberían tener tolerancia cero a la descortesía y no permitir nunca que un empleado contamine la cultura corporativa con abusos o faltas de respeto.","La felicidad es crucial para el éxito empresarial, ya que predice de manera más efectiva las utilidades que la mayoría de los indicadores financieros. La clave para tener empleados felices que beneficien a los accionistas es la sensación de realización por hacer un trabajo importante. Los gerentes deben aspirar a ayudar a los empleados a alcanzar grandes logros y no permitir la descortesía en la cultura corporativa.",,
14,14,14,"La idea de mejorar continuamente el proceso y resolver un problema justo cuando se detecta, en lugar de después, es crucial. A pesar de que los errores son inevitables ya que somos humanos, la forma en que gestionamos esos errores puede tener un gran impacto en la rapidez con la que las cosas se hacen y en su nivel de calidad. Lo que los datos añaden ahora es que si cometes un error, y todos lo hacemos, debes corregirlo tan pronto como te des cuenta, de lo contrario, te costará caro.","Es crucial mejorar continuamente el proceso y resolver problemas justo cuando se detectan. La gestión de errores puede impactar en la rapidez y calidad del trabajo. Si cometes un error, debes corregirlo tan pronto como te des cuenta para evitar consecuencias costosas.",,
15,15,15,"Los seres humanos pensamos en forma de relatos, de anécdotas. Pero nos metemos en problemas cuando intentamos extraer partes específicas de la línea argumental principal y tratarlas fuera de contexto.  
Primero, en lo que debes pensar al considerar una tarea es en el personaje o papel, como un cliente, una novia, un lector, un empleado. ¿Para quién se hará esta tarea? ¿Por el cristal de quién debemos ver el mundo al hacer este trabajo, tomar esta decisión o terminar esta parte?  
Luego debes pensar en el qué: qué quieres hacer en primer término. Por lo general, no nos detenemos en este punto, pero esto es apenas la mitad del proceso.  
Por último, debes pensar en la motivación. ¿Por qué es esta persona la que quiere tal cosa? ¿De qué servirá esto y cómo complacerá a este cliente en particular? En cierto modo, esta es la clave. La motivación lo colorea todo.","Los seres humanos pensamos en forma de relatos, de anécdotas. Nos metemos en problemas al extraer partes específicas de la línea argumental principal y tratarlas fuera de contexto. Al considerar una tarea, debemos pensar en el personaje o papel, en el qué y en la motivación. La motivación es la clave, ya que colorea todo lo que hacemos.",,
16,16,16,"¿Cómo romper esa burbuja ante tus jugadores avergonzándose en su país en una transmisión en vivo por televisión frente a millones de personas? El primer paso es estar consciente del problema, por lo cual recomiendo que los equipos midan su velocidad en cada sprint. Deben saber cuál es su índice de cambio. Si no hay crecimiento positivo, sé que debemos intensificar esfuerzos. Y la persona de la que dependo para esto es el Scrum Master. Él debe ser capaz de ver el problema y plantearlo al equipo.","El primer paso para romper la burbuja ante los jugadores es estar consciente del problema, midiendo la velocidad en cada sprint y el índice de cambio. Si no hay crecimiento positivo, se deben intensificar esfuerzos, y el Scrum Master es la persona clave para identificar y plantear el problema al equipo.",,
17,17,17,"Muchas empresas no practican los límites al horario de trabajo, dice Maxwell. Pero hay una correlación directa. Haces más, eres más feliz y alcanzas más calidad. No hay vuelta de hoja: trabajar menos permite hacer más con mayor calidad.  
¿A qué se debe que si trabajas menos hagas más? No parece tener sentido. Maxwell dice que quienes trabajan demasiado empiezan a cometer errores. Este fenómeno se llama ""fatiga del ego"".  
La idea es que tomar cualquier decisión implica un costo de energía. El agotamiento resultante es raro; no te sientes cansado físicamente, pero tu capacidad para tomar buenas decisiones disminuye. Lo que cambia es tu autocontrol, tu capacidad para ser disciplinado, reflexivo y visionario.","Trabajar menos permite hacer más con mayor calidad. Trabajar demasiado lleva a cometer errores debido a la ""fatiga del ego"", que disminuye la capacidad de tomar buenas decisiones.",,
18,18,18,"En cada momento del día, los pendientes suceden en un orden específico. La clave es admitir la incertidumbre, aceptar plenamente que tu imagen del momento del orden y el valor solo es relevante en un lapso particular. Volverá a cambiar, una y otra vez.","El orden de los pendientes cambia constantemente a lo largo del día. Es importante aceptar la incertidumbre y comprender que nuestra percepción del orden y valor de las cosas es relevante solo en un momento específico, ya que cambiará repetidamente.",,
19,19,19,"Una de las mayores fuentes de exceso de costos en cualquier contrato, ya sea para producir software, aviones o edificios, son los cambios. Los cambios son honorarios por las modificaciones.","Los cambios en cualquier contrato son una de las mayores fuentes de exceso de costos, ya que implican honorarios por modificaciones.",,
20,20,20,"En el artículo ""Dual-Task Interference in Simple Tasks: Data and Theory"" escrito por Harold Pashler en 1994, se explora la interferencia en tareas simples que requieren concentración. Pashler enfatiza la importancia de minimizar la dispersión de esfuerzos al intentar completar tareas que necesitan un tipo específico de enfoque. Es crucial ser consciente del costo de cambiar de contexto y trabajar para minimizarlo.",El artículo de Harold Pashler del 1994 explora la interferencia en tareas simples que requieren concentración. Es importante minimizar la dispersión de esfuerzos al completar tareas que necesitan un enfoque específico. Se destaca la importancia de ser consciente del costo de cambiar de contexto y trabajar para minimizarlo.,,
21,21,21,"El acto mismo de planear es tan seductor, tan atractivo que la planificación termina siendo más importante que el plan y este más importante que la realidad. Jamás olvides que el mapa no es el terreno.","La planificación es más importante que el plan, y el plan más importante que la realidad. El mapa no es el terreno.",,
22,22,22,"En Japón, se dice que la mejora se logra a través del Kaizen, enfocándose en pequeñas mejoras inmediatas para aumentar la calidad de las cosas. En Scrum, la retrospectiva al final de cada sprint permite reflexionar sobre lo que salió bien, qué podría haber salido mejor y cómo se puede mejorar en el siguiente sprint. La clave es no buscar a quien culpar; se examina el proceso. También se destaca la importancia de tener la fortaleza para abordar los asuntos que molestan de una manera orientada a la solución, no acusatoria. Al final de cada sprint, los miembros del equipo responden algunas preguntas: ¿Cómo te sientes con tu papel en la compañía? ¿Cómo te sientes con la compañía en general? ¿Por qué te sientes así? ¿Qué te haría más feliz en el siguiente sprint? Todo esto contribuye a triplicar nuestra productividad simplemente preguntándonos qué haría más feliz a la gente. Descubrimos entonces que, a diferencia de los indicadores financieros, el parámetro de felicidad es predictivo. Los","En Japón, se utiliza el Kaizen para lograr mejoras a través de pequeños cambios inmediatos. En Scrum, la retrospectiva al final de cada sprint permite reflexionar sobre lo que salió bien y cómo se puede mejorar. Se enfatiza en no buscar culpables, sino examinar el proceso y abordar los problemas de manera orientada a la solución. Al final de cada sprint, los miembros del equipo responden preguntas sobre su papel en la compañía y cómo se sienten, contribuyendo a triplicar la productividad al enfocarse en la felicidad de las personas.",,
23,23,23,"En el mundo de los negocios, los riesgos de mercado, técnico y financiero son frecuentes y representan desafíos para las empresas. En este sentido, la metodología Scrum se presenta como una herramienta efectiva para minimizar el riesgo de mercado al enfocarse en el incremento del cumplimiento y la rápida entrega de productos a los clientes. La elección de esta metodología no se basa solo en conceptos teóricos, sino en la capacidad de ver y tocar algo concreto.  
La gestión del riesgo técnico es fundamental para evitar pérdidas significativas en las empresas. Por otro lado, el riesgo financiero es una de las principales causas de quiebra en muchas organizaciones. Aunque estas empresas puedan tener productos fabulosos, no pueden venderlos por una suma suficiente para obtener ganancias. Por tanto, Scrums plantea la pregunta crucial para las empresas: ""¿Ganaremos dinero haciendo esto?"".","La metodología Scrum es efectiva para minimizar los riesgos de mercado, técnico y financiero en los negocios. Ayuda a incrementar el cumplimiento y la rápida entrega de productos a los clientes, evitando pérdidas significativas y la quiebra por falta de ganancias. Scrums plantea la pregunta crucial para las empresas: ""¿Ganaremos dinero haciendo esto?"".",,
